MonoNS,EstNS,MonoS,EstS,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,YawDeg,AngX,AngY,AngZ
352913266346,352911266346,352.913266346,352.911266346,-0.023,0.09,0.996,0.0,0.0,-0.671,-0.013715117342335121,5.204,1.222,-160.482
352923482137,352921482137,352.923482137,352.921482137,-0.023,0.09,0.996,0.0,0.0,-0.671,-0.013380494739496216,5.204,1.223,-160.489
352933513304,352931513304,352.933513304,352.931513304,-0.023,0.09,0.996,0.0,0.0,-0.671,-0.01332846816976792,5.203,1.224,-160.496
352943515597,352941515597,352.943515597,352.941515597,-0.023,0.09,0.996,0.0,0.0,-0.671,-0.013476377388221125,5.203,1.225,-160.503
352953614431,352951614431,352.953614431,352.951614431,-0.023,0.09,0.996,0.0,0.0,-0.671,-0.013772403003961117,5.203,1.226,-160.509
352963807180,352961807180,352.96380718,352.96180718,-0.023,0.09,0.996,0.0,0.0,-0.671,-0.014181385795582856,5.202,1.227,-160.516
352973865180,352971865180,352.97386518,352.97186518,-0.023,0.09,0.996,0.0,0.0,-0.671,-0.014660212088145138,5.202,1.228,-160.523
352983903931,352981903931,352.983903931,352.981903931,-0.023,0.09,0.996,0.0,0.0,-0.671,-0.01519395881905087,5.202,1.229,-160.53
352994133721,352992133721,352.994133721,352.992133721,-0.023,0.09,0.996,0.0,0.0,-0.671,-0.015778516272750717,5.202,1.23,-160.537
353004190847,353002190847,353.004190847,353.002190847,-0.023,0.09,0.996,0.0,0.0,-0.671,-0.016383123065037225,5.202,1.231,-160.544
353014297264,353012297264,353.014297264,353.012297264,-0.023,0.09,0.996,0.0,0.0,0.0,-0.015161286464088392,5.202,1.232,-160.55
353024251140,353022251140,353.02425114,353.02225114,-0.023,0.09,0.996,0.0,0.0,-0.61,-0.014294553902365566,5.202,1.232,-160.558
353034488514,353032488514,353.034488514,353.032488514,-0.023,0.09,0.996,0.0,0.0,-0.61,-0.01367183341988351,5.202,1.233,-160.565
353044560223,353042560223,353.044560223,353.042560223,-0.023,0.09,0.996,0.0,0.0,-0.61,-0.013249596123952923,5.202,1.234,-160.571
353054733722,353052733722,353.054733722,353.052733722,-0.023,0.09,0.996,0.0,0.0,-0.61,-0.012957711324396819,5.202,1.235,-160.578
353064857055,353062857055,353.064857055,353.062857055,-0.023,0.09,0.996,0.0,0.0,-0.61,-0.012768291053238881,5.202,1.236,-160.585
353074826682,353072826682,353.074826682,353.072826682,-0.023,0.09,0.996,0.0,0.0,-0.61,-0.012649304589075422,5.202,1.237,-160.591
353084884974,353082884974,353.084884974,353.082884974,-0.023,0.09,0.996,0.0,0.0,-0.61,-0.012581571827277364,5.202,1.238,-160.598
353095121180,353093121180,353.09512118,353.09312118,-0.023,0.091,0.996,0.0,0.0,-0.61,-0.012550900107954907,5.202,1.238,-160.605
353105133098,353103133098,353.105133098,353.103133098,-0.023,0.091,0.996,0.0,0.0,-0.61,-0.01254754957502801,5.202,1.239,-160.611
353115184391,353113184391,353.115184391,353.113184391,-0.023,0.091,0.996,0.0,0.0,0.0,-0.010881113094117536,5.202,1.24,-160.618
