MonoNS,EstNS,MonoS,EstS,SensorID,Src,East_Vel(m_s),North_Vel(m_s),Up_Vel(m_s)
3226029581957,3225979581957,3226.029581957,3225.979581957,DVL_H1000,BI,-0.01,0.0,0.0
3227010718978,3226960718978,3227.010718978,3226.960718978,DVL_H1000,BI,-0.01,0.005,0.0
3228009996942,3227959996942,3228.009996942,3227.959996942,DVL_H1000,BI,-0.013,0.003,0.0
3229010359601,3228960359601,3229.010359601,3228.960359601,DVL_H1000,BI,-0.013,0.003,0.0
3229991524122,3229941524122,3229.991524122,3229.941524122,DVL_H1000,BI,-0.011,0.005,0.003
3230990950543,3230940950543,3230.990950543,3230.940950543,DVL_H1000,BI,-0.011,0.004,0.0
3231991441534,3231941441534,3231.991441534,3231.941441534,DVL_H1000,BI,-0.01,0.002,0.0
3232973053174,3232923053174,3232.973053174,3232.923053174,DVL_H1000,BI,-0.018,0.008,0.0
3234972490551,3234922490551,3234.972490551,3234.922490551,DVL_H1000,BI,-0.005,0.014,0.003
3238937013143,3238887013143,3238.937013143,3238.887013143,DVL_H1000,BI,0.016,0.006,0.0
3239935878696,3239885878696,3239.935878696,3239.885878696,DVL_H1000,BI,0.012,0.009,0.0
3240935919651,3240885919651,3240.935919651,3240.885919651,DVL_H1000,BI,0.013,0.0,0.0
