t_s,E_m,N_m,U_m,vE_mps,vN_mps,vU_mps,yaw_deg,src_used
2434.421755624,1.7078261460734259,2.027378383528433,4.301983575191641,0.1290475948611437,-0.018438451848180003,0.13215801812223305,-2.2025490058215227,BI
2435.421321127,1.836817670141714,2.00894794313227,4.434084171051442,0.1274902464553148,-0.0261567561450704,0.1343393507753049,-9.963089095441106,BI
2436.398988899,1.9614607753454294,1.9833753256291684,4.5654234248158785,0.08361859757545563,-0.028395580567112992,0.08571243284244474,-16.428526549551663,BI
2692.638842128,23.387877945294985,-5.292704071240106,26.52836463626443,-0.004396673796428448,-0.0013627543701600583,-0.002795024159897215,100.99534439230688,BI
2924.016468565,22.370585998059617,-5.60801494282439,25.881658580313342,-0.03779766712244168,-0.09357442869180053,0.02543939179902355,-110.59749222654992,BI
2925.015832862,22.332812359027564,-5.701529885971132,25.907081800214677,-0.052646899058718256,-0.12129667344258795,0.02757573265143312,-113.06592988634904,BI
2926.01482208,22.280218674506763,-5.82270395491956,25.93462965981191,-0.06982459014792958,-0.14423152035623504,0.03011303947466307,-114.949599710434,BI
2927.995748434,22.141901303725508,-6.108415974670659,25.9942813733063,-0.029315741373526476,-0.06223627694913885,0.007364315258773053,-117.9419494924325,BI
2930.977169029,22.054498748636778,-6.293968492522954,26.01623749448688,0.026416646427874838,0.04754485019520889,-0.022861496263801157,-115.82665220619866,BI
2931.975907375,22.080882066397027,-6.246483627478164,25.993404841521283,0.019291532748314463,0.04882983550868109,-0.016507087217793974,-112.97863955885828,BI
2932.957310476,22.099814836459267,-6.198561875488621,25.97720473493726,0.0014976178857769096,0.020545340694229662,-0.013625201518738422,-110.86073886354845,BI
2934.95639869,22.1028087067238,-6.15748992705418,25.949966755167782,0.01194155797531955,0.0798474941274914,-0.04702953194198629,-102.93231895297212,BI
2935.939274398,22.11454577397342,-6.079009764731564,25.903742570663375,-0.02252617219633092,0.10897657716284817,-0.10754848765115688,-97.6517264178802,BI
2936.938247866,22.092042725613688,-5.970145055512446,25.796304484976364,-3.1597097190602614e-05,0.057416976115913565,-0.042193481194706596,-94.37575955860488,BI
2937.938683441,22.092011114753593,-5.912703069997148,25.754092625356076,-0.0006688388431610209,0.04318313991620062,-0.03255409469759096,-92.08469760253499,BI
2938.920440455,22.091354477528085,-5.87030771949788,25.722132414552302,-0.005926140411599742,-0.026857097546416794,0.01387721770400166,-91.22943236757185,BI
2939.920110456,22.085430292736895,-5.8971559542289675,25.73600505278834,-0.02788327607794054,-0.09105855933460347,0.04354149385434367,-91.79580304156578,BI
2940.920218202,22.0575440123475,-5.988224324759076,25.779551238064467,-0.024869267975910256,-0.11584482726411942,0.053061242979115165,-94.84997990143226,BI
2941.902470626,22.03311611359505,-6.102013187147154,25.83167077260117,-0.027047023126979,-0.12904100492418105,0.0684169393361479,-99.18047241516243,BI
2942.9084408,22.00590761503383,-6.231824589323827,25.90049617296968,0.133,0.106,0.004,-103.61771944957009,BE
2943.902392413,22.138103179562865,-6.1264657183457985,25.904471979421682,-0.04376953740515629,-0.156308865215865,0.06655648916722669,-107.89546863570897,BI
2944.88521108,22.095085661155135,-6.280088988897494,25.969884939385196,-0.06709281972389142,-0.14117360094432063,0.05467694155593485,-111.84041986963325,BI
2945.884440337,22.028044552752394,-6.421153781277106,26.024519739071167,-0.0742830127160213,-0.15926384541791375,0.05214462162611114,-115.35761406858533,BI
2946.884303669,21.953771692147146,-6.580395860423815,26.076657234196137,-0.055045678306507105,-0.08491508683335681,0.026065328078886844,-118.24850578350006,BI
2947.866911338,21.89968338649786,-6.663834075960082,26.102269225461455,-0.04514445667967883,-0.06815115563878658,0.016105837953813235,-121.16953615031733,BI
2948.866728296,21.854547193149823,-6.73197275707503,26.118372115370477,-0.08630157646901353,-0.12368038004823158,0.026761941074742727,-124.45996960361987,BI
2949.86700929,21.76822136645562,-6.855687890567991,26.145141576390095,-0.11515489665165947,-0.13316306725802046,0.021376325586534576,-128.39508706955402,BI
2950.849703583,21.65505930670504,-6.986546476800809,26.16614796954929,-0.12975238074328246,-0.14271018931615934,0.012129367534880533,-131.9196463314292,BI
2951.848890549,21.52541241905891,-7.129140637880879,26.178267475495964,-0.09747094019501093,-0.08715558156262497,-0.0028845138206003386,-134.88458744540438,BI
2953.83064581,21.33224887053281,-7.301861670168145,26.17255107505656,-0.05783928197876304,-0.04775238559749304,-0.0005719527336026834,-139.91885906336017,BI
2954.830283978,21.274430516657134,-7.349596777424444,26.17197932927376,-0.05252613605816798,-0.03976671677178304,-0.005349137125893992,-142.22329798484031,BI
2957.810181842,21.11790799601322,-7.468097531790978,26.156039446978067,-0.037785106569874126,-0.02708446866672347,-0.008527442673189329,-148.523196203101,BI
